COUNTY	PARISH	RELIEF	INCOME	UNEMP	COTTIND	ALLOTMNT	LONDON	FARMERS	WORKHSE	CHILDALL	SUBSIDY	LABRATE	ROUNDSMN	GRAIN	DENSITY	WEALTH	POP
2	31	19.53826806	32.3996138	0	0	1	44.1	0.090909091	0	0	0	0	0	12.82666667	0.201459854	6.304347826	276
2	32	34.27384642	30.99173554	0.139285714	0	1	44.1	0.52631579	0	1	1	0	0	12.62022472	0.241509434	3.34765625	768
2	34	30.59853013	35.12396694	0.109090909	0	1	44.1	0.384615385	1	1	0	0	0	10.4	0.227559055	2.673356401	1445
2	35	25.48662462	38.2231405	0.040441177	0	1	44.1	0.392857143	1	1	0	0	0	10.27317073	0.240316206	5.996710526	608
2	36	17.42972347	30.99173554	0.049504951	0	1	44.1	0.486486487	1	1	0	0	0	12.24827586	0.171615202	3.439446367	1455
2	40	36.25318709	25.82644628	0.236013986	0	0	44.1	0.348837209	1	1	0	0	0	11.23870968	0.258419244	2.930851064	1504
2	41	30.42038815	30.99173554	0.15503876	0	0	44.1	0.186666667	1	1	0	0	0	10.86846847	0.274743327	3.820627803	1338
2	42	21.14325069	36.15702479	0.047169811	0	0	44.1	0.470588235	0	1	0	1	0	13.66857143	0.133928571	4.7	300
2	43	27.12124925	36.15702479	0.074349442	0	0	44.1	0.191489362	1	1	0	1	0	10.14214876	0.265474061	3.570080863	1484
2	44	21.42805587	35.12396694	0.093264249	0	0	44.1	0.288461539	1	1	0	1	0	10.52734694	0.236082474	2.760917031	916
2	53	22.80147025	36.15702479	0.061435523	0	0	44.1	0.179104478	1	1	0	0	0	11.71143695	0.353170732	2.174723757	1448
2	56	32.24519299	37.19008265	0.327455919	0	1	44.1	0.337209302	1	1	0	0	0	10.46459627	0.29924357	3.299292214	1979
2	57	34.98254124	30.99173554	0.112359551	0	1	44.1	0.186440678	1	1	1	0	0	12.56932515	0.208360656	6.154209284	1271
2	58	34.12186643	34.09090909	0.305084746	0	1	44.1	0.206896552	1	1	0	0	0	10.6212766	0.191702128	3.576026637	901
2	61	24.14843035	32.3996138	0.073198198	0	0	44.1	0.292134832	1	1	0	0	0	10.57560976	0.371043771	2.959618875	2204
2	65	23.34442417	32.3996138	0.026785714	0	0	44.1	0.333333333	0	0	0	0	0	16.64	0.123529412	8.25974026	231
2	68	24.60230258	32.54132231	0.099009901	0	0	44.1	0.5	0	1	1	0	0	11.1037594	0.195112782	4.33911368	519
2	70	25.85240251	30.99173554	0.24	0	0	44.1	0.45945946	1	1	0	0	0	11.55555556	0.200335571	3.432160804	597
2	72	10.98237819	38.73966942	0.015384615	0	0	44.1	0.336538462	1	1	0	0	0	11.98139535	0.317857143	2.362143475	2314
2	73	27.03730044	36.15702479	0.060846561	0	0	44.1	0.52631579	1	1	0	1	0	9.63902439	0.217419355	4.572700297	337
2	74	17.53817185	30.99173554	0.079006772	0	1	44.1	0.427184466	1	1	0	0	0	12.34285714	0.221828909	3.153368794	2256
2	76	30.1767432	32.3996138	0.137724551	0	0	44.1	0.425531915	1	1	1	0	0	14.28785047	0.203913044	3.614072495	938
2	80	47.59261544	26.85950413	0.086206897	0	0	44.1	0.16	0	1	0	0	0	11.65390071	0.172285714	7.980099503	603
2	82	29.94471745	30.99173554	0.038461539	0	1	44.1	0.769230769	1	1	0	0	0	16	0.107636364	5.385135135	296
2	83	19.12119501	31.04962989	0.048701299	0	1	44.1	0.414285714	1	1	0	0	0	12.71111111	0.177312775	3.30310559	1610
2	84	25.54025758	28.40909091	0.081578947	0	0	44.1	0.32173913	1	1	0	0	0	12.4379798	0.149437299	2.487896719	1859
3	1	12.60522578	32.95571576	0.025280899	0	0	37.8	0.27027027	1	1	0	0	0	17.60744186	0.426550869	4.272833043	1719
3	3	11.14962073	42.27694998	0.032488629	0	0	37.8	0.173501577	1	0	0	0	0	12.59094828	0.790167158	2.534345446	8036
3	6	11.83352885	30.89598352	0.041821561	1	0	37.8	0.024193548	1	1	0	0	0	6.66870229	1.3688	1.312974869	3422
3	8	11.39958521	31.77136972	0.018286311	0	0	37.8	0.032069971	1	1	1	0	0	2.688	3.105714286	2.747930083	5435
3	9	6.736718212	30.49484917	0.018518519	0	0	37.8	0.090909091	1	0	0	0	0	1.423463687	1.6625	2.908521303	798
3	10	26.9545206	25.74665294	0.245901639	0	0	37.8	0.558823529	1	1	0	0	0	24.87769784	0.675	5.470899471	1134
3	11	15.04427914	28.95983522	0.013686131	1	0	37.8	0.084444444	1	1	1	0	0	9.464941785	1.16498195	1.682677409	3227
3	13	25.35055058	27.72259015	0.046153846	0	0	37.8	0.59375	1	1	0	0	0	20.67160494	0.26	5.792144026	611
3	21	15.32299611	29.45417096	0.011221945	0	1	37.8	0.423076923	1	1	0	0	0	16.71816284	0.467928731	3.882436935	2101
3	22	18.07167962	27.72259015	0.020446097	0	1	37.8	0.31372549	1	1	0	1	0	21.27125	0.342819843	4.932977913	1313
3	25	35.02539839	22.17807212	0.188235294	0	0	37.8	0.181818182	0	1	1	1	0	29.19583333	0.306666667	3.666666667	414
3	26	15.81999663	26.77651905	0	0	0	37.8	0.471698113	1	1	0	0	0	18.03454546	1.17761194	6.653992395	789
3	27	7.898221352	30.89598352	0.217391304	0	1	37.8	0.615384615	1	1	0	0	0	19.97560976	0.706763285	3.894736842	1463
3	28	14.55301995	36.04531411	0.035031847	0	0	37.8	0.657142857	1	1	0	0	0	17.63125	0.367592593	5.30604534	794
3	29	10.01043503	20.59732235	0.103773585	0	0	37.8	0.049056604	1	1	1	0	0	8.745157233	1.178368794	4.828769185	3323
3	33	15.36163935	37.48712667	0.024261603	0	0	37.8	0.37037037	1	1	0	0	0	17.0280303	0.910040161	2.964695499	2266
3	35	20.10534809	28.83625129	0.048821549	0	0	37.8	0.111111111	1	1	1	0	0	13.95333333	1.012903226	3.554936306	1256
3	36	10.39459654	28.83625129	0.044864227	0	0	37.8	0.112280702	1	1	0	0	0	10.16113074	1.285628743	4.469958081	4294
3	37	22.64729282	29.45417096	0.06372549	0	0	37.8	0.176470588	1	1	0	0	0	19.27058824	0.351666667	6.926066351	1055
3	38	10.94963003	27.80638517	0.006505576	0	1	37.8	0.205479452	1	1	0	0	0	17.57446809	0.587619048	4.076175041	1851
3	39	33.26596831	24.09886715	0.256410256	0	0	37.8	0.428571429	1	1	0	0	0	21.008	0.510320285	3.063458856	1434
3	40	15.51127962	29.10871966	0.055865922	1	0	37.8	0.523809524	1	1	1	0	0	22.568	0.394273128	3.6	895
3	41	10.29866117	31.88097868	0.03125	0	0	37.8	0.533333333	1	0	0	0	0	20.22222222	0.381578947	6.020689655	290
3	42	23.74126601	26.3130793	0.088691796	0	0	37.8	0.4	1	1	0	0	0	16.6565371	0.389303905	3.414304405	2293
3	44	29.77853348	20.59732235	0.046296296	1	0	37.8	0.736842105	1	1	0	0	0	26.14364641	0.224342105	5.178885631	682
3	46	26.39895264	24.20185376	0.071090047	0	1	37.8	0.311111111	1	1	0	0	0	22.8921875	0.455429864	5.334823646	2013
3	47	19.40548916	30.89598352	0.056291391	0	1	37.8	0.28125	0	1	1	0	0	20.48743169	0.202402402	5.824925816	674
3	49	15.41985334	33.05870237	0.013392857	0	0	37.8	0.235294118	0	1	0	0	0	21.44496124	0.368456376	3.486338798	549
4	1	42.64857333	28.60788899	0.180555556	0	0	66.15	0.571428571	1	1	0	0	1	18.92413793	0.2125	4.552941177	340
4	2	15.78860896	30.89598352	0.102941177	0	1	66.15	0.470588235	0	1	1	0	0	22.19411765	0.338157895	4.630350195	514
4	3	47.30593814	33.12492409	0.139534884	0	0	66.15	0.7	1	1	0	0	0	23.29811321	0.123809524	10.78021978	182
4	4	12.4032922	26.26158599	0	0	1	66.15	0.142857143	1	0	0	0	0	14.86333333	0.442168675	4.517711172	367
4	5	10.42132778	30.11356736	0.03301238	0	1	66.15	0.049180328	1	1	0	1	0	5.009658422	2.21954023	2.065251165	3862
4	10	28.60459436	30.89598352	0.181818182	0	1	66.15	0.5	1	1	0	0	0	22.11869159	0.214136126	5.919315403	409
4	14	18.26969317	27.10221062	0.034883721	0	1	66.15	0.344827586	1	1	0	0	0	21.77304348	0.268	5.699360341	469
4	17	27.08166457	30.89598352	0.05952381	0	0	66.15	0.181818182	1	1	0	0	0	20.06226415	0.291891892	4.444444444	216
4	18	32.77080214	28.32131823	0.067567568	0	0	66.15	0.448275862	1	1	0	0	0	15.3184466	0.278472222	4.812967581	401
4	24	26.2147739	28.60788899	0.121621622	0	0	66.15	0.916666667	1	1	0	0	0	20.3	0.138285714	5.491735537	242
4	29	21.62896716	30.89598352	0.177777778	0	0	66.15	0.549019608	1	1	1	1	0	19.01413044	0.305540897	4.648531952	1158
4	32	20.34366074	28.60788899	0.088709677	0	0	66.15	0.352941177	1	1	0	0	0	19.9721519	0.276190476	5.830049261	406
4	34	20.3869309	34.80947477	0.031413613	0	1	66.15	0.412698413	1	1	0	0	0	20.66102362	0.299388379	3.179775281	979
4	36	21.31659392	35.01544799	0.317460318	0	0	66.15	0.578947368	1	1	1	0	0	22.1695122	0.1640625	5.86031746	315
4	40	21.8583829	36.13628083	0.129032258	0	0	66.15	0.833333333	1	1	0	0	0	15.75945946	0.158064516	6.285714286	147
4	42	29.51338657	25.74665294	0.199680511	0	0	66.15	0.732142857	1	1	0	0	0	17.56829268	0.489423077	3.459724951	1527
4	45	27.26894861	27.10221062	0.133928571	0	1	66.15	0.288135593	1	1	0	0	0	18.54381625	0.422826087	3.802913453	1167
4	48	15.77389876	30.11356736	0.115384615	0	0	66.15	0.4375	0	1	0	1	0	23.07454546	0.259016393	19.07594937	158
4	49	24.37009921	39.14763756	0	0	0	66.15	0.333333333	1	0	0	1	0	19.95636364	0.085957447	4.777227723	202
5	2	11.65266842	26.77651905	0.085877863	0	1	63	0.190476191	0	0	0	0	0	20.92203947	0.383206107	3.435059761	1255
5	4	13.23921762	20.59732235	0.071875	0	1	63	0.272727273	1	0	0	1	0	19.425	0.188313283	5.576271186	767
5	5	9.896774229	32.95571576	0.02956636	0	0	63	0.322222222	1	1	0	1	0	18.47247609	0.276805832	5.322959062	4177
5	6	17.54719622	27.74149726	0.085858586	0	1	63	0.9	0	0	0	0	0	20.39302326	0.280959374	5.010452962	574
5	8	11.58739462	33.47064882	0.024875622	0	0	63	0.444444444	0	1	0	0	0	19.53037975	0.119041451	9.53101197	919
5	10	15.70216347	30.89598352	0.12037037	0	1	63	0.416666667	0	1	0	0	0	22.4775	0.237619461	2.952468007	547
5	11	12.76256728	29.86611741	0.054151625	0	0	63	0.277777778	0	1	0	0	0	20.52326284	0.327160494	2.822641509	1325
5	13	17.25260389	28.42430484	0.147465438	0	1	63	0.28358209	0	1	0	0	0	19.34683099	0.231181766	3.753935377	1207
5	15	13.96366515	29.09371782	0	0	0	63	0.195121951	0	1	0	0	0	17.274375	0.37972973	3.759786477	562
5	16	18.52182686	15.44799176	0.212121212	0	1	63	0.4	0	1	0	0	0	21.55736842	0.340869565	3.942602041	784
5	18	22.29126185	25.74665294	0.115942029	1	1	63	0.139784946	1	1	1	0	0	10.49178082	0.458094458	1.859356377	1678
5	19	16.76453771	32.4407827	0.153846154	0	1	63	0.36	1	1	1	1	0	22.52647059	0.161317877	6.686838124	2644
5	21	9.50215685	29.86611741	0.077922078	0	1	63	0.508474576	0	0	1	1	0	15.51580382	0.337299771	1.844640434	1474
5	22	10.79517517	26.3544224	0.092592593	0	0	63	0.259259259	0	1	0	0	0	19.32222222	0.3215	2.639191291	643
5	28	15.49474314	26.77651905	0.065868264	1	1	63	0.307692308	0	1	0	0	0	12.25025907	0.415409483	3.747081712	771
5	30	14.62708399	24.96734754	0.087628866	0	0	63	0.352941177	0	1	0	0	0	21.32368421	0.4025	3.962732919	483
5	31	18.745453	25.23171988	0	0	1	63	0.315789474	0	1	0	0	0	21.19090909	0.192988669	3.636697248	545
5	32	16.49902987	35.01544799	0.03968254	0	1	63	0.197530864	1	1	0	0	0	16.5	0.173503185	7.567547724	1362
5	33	23.36367805	33.47064882	0	0	0	63	0.585714286	1	1	0	1	0	18.07714286	0.116827743	9.976155718	2055
5	39	18.71901731	33.47064882	0.019455253	0	0	63	0.829268293	1	1	0	0	0	24.58389262	0.137464388	10.11502591	965
6	1	6.731807792	30.89598352	0	0	0	94.5	0.14893617	1	0	0	1	0	10.71962617	0.188073395	4.967073171	820
6	6	16.15661524	30.89598352	0	0	0	94.5	1	0	1	0	0	0	27.35294118	0.049885584	5.747706422	218
6	7	14.76021822	33.47064882	0.039877301	0	0	94.5	0.090909091	1	1	1	0	0	10.18357488	0.812264151	2.924506388	861
6	8	15.05735289	39.60233497	0.037735849	0	0	94.5	0.111111111	0	0	0	0	0	20.08450704	0.088957055	8.979310345	290
6	12	11.00148155	28.83625129	0.011086475	0	0	94.5	0.079646018	1	1	0	0	0	8.024822695	0.763194444	2.381255687	2198
